"src_id","dst_id","weight","avg_time_gap"
"44626","5","1","28.0"
"45087","5","1","3.0"
"45480","5","1","5.0"
"45782","5","1","3.0"
"45970","5","1","28.0"
"46114","5","1","41.0"
"46252","5","1","43.0"
"46966","5","1","40.0"
"47280","5","3","1.0"
"48035","5","1","34.0"
"48514","5","1","33.0"
"48609","5","1","22.0"
"48896","5","1","38.0"
"48903","5","1","45.0"
"49100","5","1","28.0"
"51650","5","1","32.0"
"52462","5","1","43.0"
"53192","5","6","43.166666666666664"
"53412","5","1","5.0"
"53657","5","1","43.0"
"54175","5","1","28.0"
"54176","5","1","16.0"
"54379","5","1","24.0"
"54477","5","1","41.0"
"54977","5","1","36.0"
"55738","5","1","43.0"
"56312","5","1","39.0"
"56569","5","2","39.0"
"56806","5","1","22.0"
"56837","5","1","37.0"
"56989","5","1","38.0"
"57013","5","1","45.0"
"57375","5","1","6.0"
"59361","5","1","38.0"
"60535","5","1","44.0"
"60656","5","1","10.0"
"60690","5","1","37.0"
"60940","5","1","49.0"
"62358","5","1","33.0"
"63004","5","1","5.0"
"63108","5","1","40.0"
"63383","5","1","28.0"
"64175","5","1","25.0"
"64919","5","1","27.0"
"64920","5","1","27.0"
"66193","5","1","46.0"
"67543","5","1","1.0"
"67857","5","1","42.0"
"68045","5","1","4.0"
"68382","5","1","37.0"
"68548","5","1","6.0"
"68952","5","2","38.0"
"69335","5","1","35.0"
"70155","5","1","32.0"
"70513","5","1","21.0"
"70522","5","2","0.5"
"70989","5","1","29.0"
"71122","5","1","41.0"
"71656","5","1","0.0"
"73386","5","1","37.0"
"73557","5","1","36.0"
"74391","5","1","34.0"
"75653","5","1","44.0"
"75850","5","1","6.0"
"76484","5","1","44.0"
"77011","5","1","44.0"
"77411","5","1","5.0"
"77519","5","1","1.0"
"77607","5","1","49.0"
"77653","5","1","10.0"
"78185","5","2","46.5"
"78194","5","1","40.0"
"78324","5","1","1.0"
"78325","5","1","5.0"
"78346","5","2","2.5"
"78347","5","1","6.0"
"78348","5","1","10.0"
"78375","5","1","13.0"
"78376","5","1","14.0"
"78377","5","1","15.0"
"78378","5","1","19.0"
"78385","5","1","23.0"
"78387","5","2","26.0"
"78400","5","2","27.0"
"78415","5","1","33.0"
"78487","5","1","32.0"
"78488","5","1","33.0"
"78489","5","1","33.0"
"78490","5","1","34.0"
"78491","5","1","35.0"
"78514","5","1","37.0"
"78559","5","5","38.0"
"78560","5","2","36.5"
"78567","5","1","41.0"
"78568","5","1","42.0"
"78570","5","1","44.0"
"78574","5","1","47.0"
"78635","5","1","12.0"
"78686","5","1","1.0"
"78845","5","2","35.5"
"79081","5","1","40.0"
"79128","5","1","23.0"
"79215","5","1","1.0"
"79516","5","1","17.0"
"80860","5","1","46.0"
"80984","5","1","14.0"
"81948","5","1","3.0"
"82006","5","1","2.0"
"82955","5","1","37.0"
"82963","5","1","41.0"
"83424","5","1","24.0"
"84565","5","1","48.0"
"84780","5","1","28.0"
"85141","5","1","42.0"
"85330","5","1","26.0"
"85633","5","1","4.0"
"85639","5","3","29.0"
"86702","5","1","39.0"
"8","8","9","32.333333333333336"
"24","8","1","36.0"
"30","8","1","49.0"
"43","8","2","14.0"
"55","8","1","4.0"
"64","8","1","42.0"
"81","8","3","39.333333333333336"
"84","8","1","48.0"
"111","8","1","32.0"
"115","8","1","11.0"
"120","8","1","48.0"
"146","8","1","18.0"
"163","8","1","38.0"
"175","8","1","23.0"
"176","8","3","36.666666666666664"
"182","8","1","29.0"
"218","8","1","11.0"
"230","8","1","48.0"
"259","8","5","17.2"
"266","8","2","8.0"
"268","8","1","24.0"
"277","8","1","0.0"
"289","8","1","32.0"
"312","8","1","40.0"
"346","8","1","48.0"
"399","8","1","9.0"
"425","8","1","33.0"
"434","8","1","37.0"
"449","8","1","10.0"
"466","8","1","42.0"
"468","8","1","23.0"
"478","8","1","37.0"
"500","8","1","43.0"
"575","8","1","48.0"
"611","8","1","29.0"
"652","8","1","2.0"
"693","8","7","29.857142857142858"
"728","8","1","36.0"
"742","8","1","3.0"
"746","8","1","39.0"
"750","8","1","36.0"
"829","8","1","48.0"
"832","8","1","24.0"
"836","8","1","28.0"
"857","8","1","30.0"
"870","8","1","43.0"
"901","8","1","49.0"
"953","8","1","38.0"
"1027","8","1","42.0"
"1066","8","1","32.0"
"1081","8","1","9.0"
"1116","8","1","1.0"
"1135","8","1","36.0"
"1158","8","40","34.64999999999999"
"1163","8","1","47.0"
"1184","8","1","9.0"
"1199","8","1","9.0"
"1204","8","1","22.0"
"1216","8","1","8.0"
"1225","8","1","4.0"
